# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "reference/styphimurium.gff" "-o" "feature_counts/all_samples_counts.txt" "alignment_bam/acidic_sorted.bam" "alignment_bam/oxidative_sorted.bam" "alignment_bam/starvation_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment_bam/acidic_sorted.bam	alignment_bam/oxidative_sorted.bam	alignment_bam/starvation_sorted.bam
STM0001	NC_003197.2	190	255	+	66	14013	5549	10257
STM0002	NC_003197.2	325	2799	+	2475	2299	1190	501
STM0003	NC_003197.2	2789	3730	+	942	842	838	286
STM0004	NC_003197.2	3722	5020	+	1299	2241	2303	963
STM0005	NC_003197.2	5114	5898	-	785	2492	1630	693
STM0006	NC_003197.2	5966	7407	-	1442	3033	1221	882
STM0007	NC_003197.2	7652	8618	+	967	23001	23665	3363
STM0008	NC_003197.2	8718	9319	+	602	4051	1158	857
STM0009	NC_003197.2	9376	9950	-	575	5954	467	125
STM0010	NC_003197.2	10092	10811	-	720	529	156	178
STM0011	NC_003197.2	10841	11255	-	415	1114	179	211
STM0012	NC_003197.2	11579	13509	+	1931	66554	208808	3014
STM0013	NC_003197.2	13577	14734	+	1158	4867	9954	569
STM0014	NC_003197.2	15007	15961	+	955	1640	206	12
STM0015	NC_003197.2	16083	16432	+	350	74	3	0
STM0016	NC_003197.2	16493	17033	-	541	169	16	0
STM0017	NC_003197.2	17043	17493	-	451	76	29	12
STM0018	NC_003197.2	17860	19966	+	2107	1323	212	398
STM0019	NC_003197.2	20051	23054	+	3004	704	173	96
STM0020	NC_003197.2	23335	24039	+	705	231	28	10
STM0021	NC_003197.2	24462	25011	+	550	244	37	7
STM0022	NC_003197.2	25105	25798	+	694	520	65	76
STM0023	NC_003197.2	25803	28424	+	2622	876	324	168
STM0024	NC_003197.2	28410	29432	+	1023	909	90	89
STM0025	NC_003197.2	29418	29978	+	561	71	8	25
STM0026	NC_003197.2	29977	30512	+	536	445	100	42
STM0027	NC_003197.2	30466	31209	+	744	197	78	88
STM0028	NC_003197.2	31270	32119	+	850	447	153	72
STM0029	NC_003197.2	32545	33000	-	456	71	6	6
STM0030	NC_003197.2	33357	34368	+	1012	391	71	53
STM0031	NC_003197.2	34376	34816	-	441	117	8	0
STM0032	NC_003197.2	35331	37057	+	1727	705	71	341
STM0033	NC_003197.2	37103	38674	-	1572	2049	314	649
STM0034	NC_003197.2	38773	39540	-	768	172	6	0
STM0035	NC_003197.2	40120	41624	+	1505	586	240	175
STM0036	NC_003197.2	41717	42913	+	1197	662	163	141
STM0037	NC_003197.2	42926	44185	+	1260	329	69	60
STM0038	NC_003197.2	44305	46027	+	1723	1313	200	364
STM0039	NC_003197.2	46083	47356	+	1274	2631	2689	589
STM0040	NC_003197.2	47407	48317	+	911	2333	1749	603
STM0041	NC_003197.2	48372	50417	-	2046	716	132	128
STM0042	NC_003197.2	50451	51829	-	1379	298	33	81
STM0043	NC_003197.2	52280	52550	-	271	129827	9081	885
STM0044	NC_003197.2	52649	52864	+	216	47	6	5
STM0045	NC_003197.2	52872	53810	+	939	2653	1307	434
STM0046	NC_003197.2	53838	56689	+	2852	7614	13804	1029
STM0047	NC_003197.2	56689	57189	+	501	1977	3445	576
STM0048	NC_003197.2	57328	57793	+	466	1213	970	244
STM0049	NC_003197.2	57782	58746	+	965	1619	1501	270
STM0050	NC_003197.2	58940	60148	+	1209	1545	366	158
STM0051	NC_003197.2	60151	61084	+	934	2084	863	193
STM0052	NC_003197.2	61106	61797	-	692	729	215	139
STM0053	NC_003197.2	61794	63413	-	1620	1838	211	391
STM0054	NC_003197.2	63548	64855	-	1308	165	89	22
STM0055	NC_003197.2	64862	66644	-	1783	10	6	0
STM0056	NC_003197.2	66654	66899	-	246	0	0	0
STM0057	NC_003197.2	67052	68400	-	1349	263	28	124
STM0058	NC_003197.2	68637	69680	+	1044	715	83	68
